,Symbol,Name,Score
401233,HTATSF1P2,HIV-1 Tat specific factor 1 pseudogene 2,2.163
10105,PPIF,peptidylprolyl isomerase F,2.161
100506895,LOC100506895,uncharacterized LOC100506895,2.16
6658,SOX3,SRY (sex determining region Y)-box 3,2.157
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,2.152
4059,BCAM,basal cell adhesion molecule (Lutheran blood group),2.151
10266,RAMP2,receptor (G protein-coupled) activity modifying protein 2,2.151
10444,ZER1,"zyg-11 related, cell cycle regulator",2.149
8361,HIST1H4F,"histone cluster 1, H4f",2.147
55004,LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1",2.139
2885,GRB2,growth factor receptor-bound protein 2,2.137
389119,FAM212A,"family with sequence similarity 212, member A",2.135
10381,TUBB3,"tubulin, beta 3 class III",2.134
6573,SLC19A1,"solute carrier family 19 (folate transporter), member 1",2.132
100506476,LOC100506476,uncharacterized LOC100506476,2.132
50604,IL20,interleukin 20,2.129
729083,LOC729083,uncharacterized LOC729083,2.128
64066,MMP27,matrix metallopeptidase 27,2.127
23770,FKBP8,"FK506 binding protein 8, 38kDa",2.119
10121,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)",2.118
6916,TBXAS1,thromboxane A synthase 1 (platelet),2.118
7867,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3,2.117
4898,NRD1,nardilysin (N-arginine dibasic convertase),2.115
50848,F11R,F11 receptor,2.11
10567,RABAC1,Rab acceptor 1 (prenylated),2.109
6374,CXCL5,chemokine (C-X-C motif) ligand 5,2.108
3055,HCK,hemopoietic cell kinase,2.108
55652,SLC48A1,"solute carrier family 48 (heme transporter), member 1",2.108
695,BTK,Bruton agammaglobulinemia tyrosine kinase,2.104
9473,THEMIS2,thymocyte selection associated family member 2,2.103
9236,CCPG1,cell cycle progression 1,2.101
29122,PRSS50,"protease, serine, 50",2.098
5097,PCDH1,protocadherin 1,2.097
5743,PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),2.094
25928,SOSTDC1,sclerostin domain containing 1,2.091
6850,SYK,spleen tyrosine kinase,2.085
6328,SCN3A,"sodium channel, voltage-gated, type III, alpha subunit",2.084
9123,SLC16A3,"solute carrier family 16 (monocarboxylate transporter), member 3",2.081
644997,C1orf200,chromosome 1 open reading frame 200,2.077
219770,GJD4,"gap junction protein, delta 4, 40.1kDa",2.077
116092,DNTTIP1,"deoxynucleotidyltransferase, terminal, interacting protein 1",2.075
414918,DENND6B,DENN/MADD domain containing 6B,2.074
114548,NLRP3,"NLR family, pyrin domain containing 3",2.068
6853,SYN1,synapsin I,2.066
5777,PTPN6,"protein tyrosine phosphatase, non-receptor type 6",2.065
79143,MBOAT7,membrane bound O-acyltransferase domain containing 7,2.063
240,ALOX5,arachidonate 5-lipoxygenase,2.062
11018,TMED1,transmembrane emp24 protein transport domain containing 1,2.059
2867,FFAR2,free fatty acid receptor 2,2.058
644538,SMIM10,small integral membrane protein 10,2.058
10383,TUBB4B,"tubulin, beta 4B class IVb",2.058
3995,FADS3,fatty acid desaturase 3,2.056
126868,MAB21L3,mab-21-like 3 (C. elegans),2.052
29992,PILRA,paired immunoglobin-like type 2 receptor alpha,2.052
138724,C9orf131,chromosome 9 open reading frame 131,2.048
3106,HLA-B,"major histocompatibility complex, class I, B",2.046
7124,TNF,tumor necrosis factor,2.044
6253,RTN2,reticulon 2,2.043
2242,FES,feline sarcoma oncogene,2.042
2358,FPR2,formyl peptide receptor 2,2.042
1959,EGR2,early growth response 2,2.036
27166,PRELID1,PRELI domain containing 1,2.033
5531,PPP4C,"protein phosphatase 4, catalytic subunit",2.03
6446,SGK1,serum/glucocorticoid regulated kinase 1,2.03
3613,IMPA2,inositol(myo)-1(or 4)-monophosphatase 2,2.026
100505702,LINC01094,long intergenic non-protein coding RNA 1094,2.026
2038,EPB42,erythrocyte membrane protein band 4.2,2.025
101927702,LOC101927702,uncharacterized LOC101927702,2.025
78996,C7orf49,chromosome 7 open reading frame 49,2.024
8365,HIST1H4H,"histone cluster 1, H4h",2.021
7434,VIPR2,vasoactive intestinal peptide receptor 2,2.018
8612,PPAP2C,phosphatidic acid phosphatase type 2C,2.017
386724,AMIGO3,adhesion molecule with Ig-like domain 3,2.015
283687,C15orf37,chromosome 15 open reading frame 37,2.015
10590,SCGN,"secretagogin, EF-hand calcium binding protein",2.014
10158,PDZK1IP1,PDZK1 interacting protein 1,2.008
6397,SEC14L1,SEC14-like 1 (S. cerevisiae),2.008
808,CALM3,"calmodulin 3 (phosphorylase kinase, delta)",2.006
79930,DOK3,docking protein 3,2.005
3042,HBM,"hemoglobin, mu",2.005
1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,2.003
10437,IFI30,"interferon, gamma-inducible protein 30",2
10653,SPINT2,"serine peptidase inhibitor, Kunitz type, 2",2
57533,TBC1D14,"TBC1 domain family, member 14",1.994
2526,FUT4,"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)",1.993
8394,PIP5K1A,"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha",1.99
6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),1.987
101928869,LOC101928869,uncharacterized LOC101928869,1.987
7376,NR1H2,"nuclear receptor subfamily 1, group H, member 2",1.986
4794,NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",1.983
80256,FAM214B,"family with sequence similarity 214, member B",1.982
11027,LILRA2,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2",1.98
57172,CAMK1G,calcium/calmodulin-dependent protein kinase IG,1.978
126014,OSCAR,"osteoclast associated, immunoglobulin-like receptor",1.977
5153,PDE1B,"phosphodiesterase 1B, calmodulin-dependent",1.977
4064,CD180,CD180 molecule,1.976
6483,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",1.976
51312,SLC25A37,"solute carrier family 25 (mitochondrial iron transporter), member 37",1.971
6888,TALDO1,transaldolase 1,1.97
340348,TSPAN33,tetraspanin 33,1.967
7086,TKT,transketolase,1.963
23299,BICD2,bicaudal D homolog 2 (Drosophila),1.962
157556,C8orf56,chromosome 8 open reading frame 56,1.962
5816,PVALB,parvalbumin,1.961
10113,PREB,prolactin regulatory element binding,1.96
54976,C20orf27,chromosome 20 open reading frame 27,1.959
54507,ADAMTSL4,ADAMTS-like 4,1.958
3241,HPCAL1,hippocalcin-like 1,1.958
54838,WBP1L,WW domain binding protein 1-like,1.949
1230,CCR1,chemokine (C-C motif) receptor 1,1.947
25790,CCDC19,coiled-coil domain containing 19,1.947
116138,KLHDC3,kelch domain containing 3,1.947
91179,SCARF2,"scavenger receptor class F, member 2",1.945
4354,MPP1,"membrane protein, palmitoylated 1, 55kDa",1.944
3576,IL8,interleukin 8,1.942
78995,C17orf53,chromosome 17 open reading frame 53,1.941
25824,PRDX5,peroxiredoxin 5,1.94
80776,B9D2,B9 protein domain 2,1.939
579,NKX3-2,NK3 homeobox 2,1.937
2539,G6PD,glucose-6-phosphate dehydrogenase,1.935
7809,BSND,"Bartter syndrome, infantile, with sensorineural deafness (Barttin)",1.93
55902,ACSS2,acyl-CoA synthetase short-chain family member 2,1.928
220929,ZNF438,zinc finger protein 438,1.928
581,BAX,BCL2-associated X protein,1.927
526,ATP6V1B2,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2",1.926
64073,C19orf33,chromosome 19 open reading frame 33,1.926
23109,DDN,dendrin,1.925
7204,TRIO,trio Rho guanine nucleotide exchange factor,1.925
65220,NADK,NAD kinase,1.924
7170,TPM3,tropomyosin 3,1.922
112755,STX1B,syntaxin 1B,1.921
4067,LYN,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog,1.921
11031,RAB31,"RAB31, member RAS oncogene family",1.918
23053,ZSWIM8,"zinc finger, SWIM-type containing 8",1.917
79368,FCRL2,Fc receptor-like 2,1.916
8789,FBP2,"fructose-1,6-bisphosphatase 2",1.915
4100,MAGEA1,"melanoma antigen family A, 1 (directs expression of antigen MZ2-E)",1.914
9726,ZNF646,zinc finger protein 646,1.914
2314,FLII,flightless I homolog (Drosophila),1.91
23645,PPP1R15A,"protein phosphatase 1, regulatory subunit 15A",1.91
55740,ENAH,enabled homolog (Drosophila),1.909
1118,CHIT1,chitinase 1 (chitotriosidase),1.908
337876,CHSY3,chondroitin sulfate synthase 3,1.908
56905,C15orf39,chromosome 15 open reading frame 39,1.908
56914,OTOR,otoraplin,1.908
387885,CCDC42B,coiled-coil domain containing 42B,1.905
6050,RNH1,ribonuclease/angiogenin inhibitor 1,1.905
27036,SIGLEC7,sialic acid binding Ig-like lectin 7,1.905
27180,SIGLEC9,sialic acid binding Ig-like lectin 9,1.903
84740,AFAP1-AS1,AFAP1 antisense RNA 1,1.902
7263,TST,thiosulfate sulfurtransferase (rhodanese),1.902
80223,RAB11FIP1,RAB11 family interacting protein 1 (class I),1.901
54831,BEST2,bestrophin 2,1.9
1192,CLIC1,chloride intracellular channel 1,1.898
220359,TIGD3,tigger transposable element derived 3,1.898
2717,GLA,"galactosidase, alpha",1.897
54997,TESC,tescalcin,1.897
84717,HDGFRP2,hepatoma-derived growth factor-related protein 2,1.896
64114,TMBIM1,transmembrane BAX inhibitor motif containing 1,1.896
7940,LST1,leukocyte specific transcript 1,1.895
7421,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",1.895
54920,DUS2,dihydrouridine synthase 2,1.893
56413,LTB4R2,leukotriene B4 receptor 2,1.893
7148,TNXB,tenascin XB,1.893
826,CAPNS1,"calpain, small subunit 1",1.891
246329,STAC3,SH3 and cysteine rich domain 3,1.891
2250,FGF5,fibroblast growth factor 5,1.889
5351,PLOD1,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1",1.889
5573,PRKAR1A,"protein kinase, cAMP-dependent, regulatory, type I, alpha",1.889
101927974,LOC101927974,uncharacterized LOC101927974,1.889
388581,FAM132A,"family with sequence similarity 132, member A",1.888
57153,SLC44A2,"solute carrier family 44 (choline transporter), member 2",1.887
10867,TSPAN9,tetraspanin 9,1.886
340107,LOC340107,uncharacterized LOC340107,1.886
130557,ZNF513,zinc finger protein 513,1.886
283576,ZDHHC22,"zinc finger, DHHC-type containing 22",1.885
5265,SERPINA1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",1.884
23558,WBP2,WW domain binding protein 2,1.883
51195,RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1,1.882
92960,PEX11G,peroxisomal biogenesis factor 11 gamma,1.881
79709,COLGALT1,collagen beta(1-O)galactosyltransferase 1,1.88
63904,DUSP21,dual specificity phosphatase 21,1.88
114885,OSBPL11,oxysterol binding protein-like 11,1.879
6991,TCTE3,t-complex-associated-testis-expressed 3,1.879
1639,DCTN1,dynactin 1,1.878
28956,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",1.878
5606,MAP2K3,mitogen-activated protein kinase kinase 3,1.878
10460,TACC3,"transforming, acidic coiled-coil containing protein 3",1.878
5119,CHMP1A,charged multivesicular body protein 1A,1.877
2896,GRN,granulin,1.875
353514,LILRA5,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5",1.875
27245,AHDC1,"AT hook, DNA binding motif, containing 1",1.872
91300,R3HDM4,R3H domain containing 4,1.871
441476,C9orf173,chromosome 9 open reading frame 173,1.869
23603,CORO1C,"coronin, actin binding protein, 1C",1.869
752,FMNL1,formin-like 1,1.869
89887,ZNF628,zinc finger protein 628,1.869
3460,IFNGR2,interferon gamma receptor 2 (interferon gamma transducer 1),1.868
11093,ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13",1.867
10313,RTN3,reticulon 3,1.867
10093,ARPC4,"actin related protein 2/3 complex, subunit 4, 20kDa",1.866
442721,LMOD2,leiomodin 2 (cardiac),1.866
3777,KCNK3,"potassium channel, subfamily K, member 3",1.866
283987,HID1,HID1 domain containing,1.864
84720,PIGO,"phosphatidylinositol glycan anchor biosynthesis, class O",1.864
55357,TBC1D2,"TBC1 domain family, member 2",1.864
7439,BEST1,bestrophin 1,1.863
64241,ABCG8,"ATP-binding cassette, sub-family G (WHITE), member 8",1.861
25921,ZDHHC5,"zinc finger, DHHC-type containing 5",1.861
2588,GALNS,galactosamine (N-acetyl)-6-sulfate sulfatase,1.86
2596,GAP43,growth associated protein 43,1.857
256472,TMEM151A,transmembrane protein 151A,1.856
28655,TRAV27,T cell receptor alpha variable 27,1.854
3049,HBQ1,"hemoglobin, theta 1",1.852
4825,NKX6-1,NK6 homeobox 1,1.852
79767,ELMO3,engulfment and cell motility 3,1.851
10536,LEPREL2,leprecan-like 2,1.85
101929752,LOC101929752,uncharacterized LOC101929752,1.85
7922,SLC39A7,"solute carrier family 39 (zinc transporter), member 7",1.845
313,AOAH,acyloxyacyl hydrolase (neutrophil),1.842
116985,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",1.842
146378,C16orf92,chromosome 16 open reading frame 92,1.839
9080,CLDN9,claudin 9,1.839
10841,FTCD,formimidoyltransferase cyclodeaminase,1.839
4688,NCF2,neutrophil cytosolic factor 2,1.839
645682,POU5F1P4,POU class 5 homeobox 1 pseudogene 4,1.839
100507600,LOC100507600,uncharacterized LOC100507600,1.838
5226,PGD,phosphogluconate dehydrogenase,1.837
339390,CLEC4G,"C-type lectin domain family 4, member G",1.836
1981,EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1",1.836
11141,IL1RAPL1,interleukin 1 receptor accessory protein-like 1,1.835
55332,DRAM1,DNA-damage regulated autophagy modulator 1,1.834
645191,LINGO3,leucine rich repeat and Ig domain containing 3,1.833
9145,SYNGR1,synaptogyrin 1,1.832
10261,IGSF6,"immunoglobulin superfamily, member 6",1.831
3949,LDLR,low density lipoprotein receptor,1.831
5660,PSAP,prosaposin,1.831
147650,SPACA6P,"sperm acrosome associated 6, pseudogene",1.831
7127,TNFAIP2,"tumor necrosis factor, alpha-induced protein 2",1.831
55262,C7orf43,chromosome 7 open reading frame 43,1.829
51143,DYNC1LI1,"dynein, cytoplasmic 1, light intermediate chain 1",1.829
51734,MSRB1,methionine sulfoxide reductase B1,1.829
377,ARF3,ADP-ribosylation factor 3,1.828
101926906,LOC101926906,uncharacterized LOC101926906,1.828
3882,KRT32,keratin 32,1.825
9907,AP5Z1,"adaptor-related protein complex 5, zeta 1 subunit",1.824
57863,CADM3,cell adhesion molecule 3,1.824
10691,GMEB1,glucocorticoid modulatory element binding protein 1,1.824
127933,UHMK1,U2AF homology motif (UHM) kinase 1,1.82
1893,ECM1,extracellular matrix protein 1,1.819
126364,LRRC25,leucine rich repeat containing 25,1.818
50945,TBX22,T-box 22,1.817
6533,SLC6A6,"solute carrier family 6 (neurotransmitter transporter), member 6",1.816
91662,NLRP12,"NLR family, pyrin domain containing 12",1.815
6407,SEMG2,semenogelin II,1.815
51657,STYXL1,serine/threonine/tyrosine interacting-like 1,1.815
90993,CREB3L1,cAMP responsive element binding protein 3-like 1,1.814
714,C1QC,"complement component 1, q subcomponent, C chain",1.814
1175,AP2S1,"adaptor-related protein complex 2, sigma 1 subunit",1.813
140885,SIRPA,signal-regulatory protein alpha,1.812
1020,CDK5,cyclin-dependent kinase 5,1.811
1404,HAPLN1,hyaluronan and proteoglycan link protein 1,1.811
11024,LILRA1,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1",1.81
400258,C14orf180,chromosome 14 open reading frame 180,1.809
10095,ARPC1B,"actin related protein 2/3 complex, subunit 1B, 41kDa",1.807
1050,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1.807
1438,CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",1.807
10049,DNAJB6,"DnaJ (Hsp40) homolog, subfamily B, member 6",1.807
10295,BCKDK,branched chain ketoacid dehydrogenase kinase,1.806
7903,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",1.806
51177,PLEKHO1,"pleckstrin homology domain containing, family O member 1",1.805
55819,RNF130,ring finger protein 130,1.802
55831,EMC3,ER membrane protein complex subunit 3,1.8
27243,CHMP2A,charged multivesicular body protein 2A,1.799
83719,YPEL3,yippee-like 3 (Drosophila),1.799
5990,RFX2,"regulatory factor X, 2 (influences HLA class II expression)",1.797
124976,SPNS2,spinster homolog 2 (Drosophila),1.797
4689,NCF4,"neutrophil cytosolic factor 4, 40kDa",1.796
3053,SERPIND1,"serpin peptidase inhibitor, clade D (heparin cofactor), member 1",1.796
200159,C1orf100,chromosome 1 open reading frame 100,1.794
23288,IQCE,IQ motif containing E,1.793
5175,PECAM1,platelet/endothelial cell adhesion molecule 1,1.793
10573,MRPL28,mitochondrial ribosomal protein L28,1.792
64127,NOD2,nucleotide-binding oligomerization domain containing 2,1.792
6549,SLC9A2,"solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2",1.792
64072,CDH23,cadherin-related 23,1.79
55521,TRIM36,tripartite motif containing 36,1.79
10435,CDC42EP2,CDC42 effector protein (Rho GTPase binding) 2,1.789
8650,NUMB,numb homolog (Drosophila),1.789
56911,MAP3K7CL,MAP3K7 C-terminal like,1.788
221409,SPATS1,"spermatogenesis associated, serine-rich 1",1.787
57085,AGTRAP,angiotensin II receptor-associated protein,1.785
84818,IL17RC,interleukin 17 receptor C,1.784
1613,DAPK3,death-associated protein kinase 3,1.782
2783,GNB2,"guanine nucleotide binding protein (G protein), beta polypeptide 2",1.782
4082,MARCKS,myristoylated alanine-rich protein kinase C substrate,1.782
148870,CCDC27,coiled-coil domain containing 27,1.78
3310,HSPA6,heat shock 70kDa protein 6 (HSP70B'),1.779
2015,EMR1,"egf-like module containing, mucin-like, hormone receptor-like 1",1.778
3340,NDST1,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1,1.778
6907,TBL1X,transducin (beta)-like 1X-linked,1.778
8334,HIST1H2AC,"histone cluster 1, H2ac",1.777
55586,MIOX,myo-inositol oxygenase,1.777
91860,CALML4,calmodulin-like 4,1.776
10981,RAB32,"RAB32, member RAS oncogene family",1.776
409,ARRB2,"arrestin, beta 2",1.775
4784,NFIX,nuclear factor I/X (CCAAT-binding transcription factor),1.773
351,APP,amyloid beta (A4) precursor protein,1.772
5199,CFP,complement factor properdin,1.772
26524,LATS2,large tumor suppressor kinase 2,1.772
199,AIF1,allograft inflammatory factor 1,1.771
8659,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",1.769
9470,EIF4E2,eukaryotic translation initiation factor 4E family member 2,1.769
55827,DCAF6,DDB1 and CUL4 associated factor 6,1.767
10395,DLC1,deleted in liver cancer 1,1.767
8834,TMEM11,transmembrane protein 11,1.767
54210,TREM1,triggering receptor expressed on myeloid cells 1,1.767
100862671,LOC100862671,uncharacterized LOC100862671,1.766
100507143,LINC00708,long intergenic non-protein coding RNA 708,1.763
30008,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,1.762
2687,GGT5,gamma-glutamyltransferase 5,1.762
5338,PLD2,phospholipase D2,1.761
388,RHOB,ras homolog family member B,1.76
197187,SNAI3-AS1,SNAI3 antisense RNA 1,1.76
7030,TFE3,transcription factor binding to IGHM enhancer 3,1.76
7813,EVI5,ecotropic viral integration site 5,1.759
23601,CLEC5A,"C-type lectin domain family 5, member A",1.758
1535,CYBA,"cytochrome b-245, alpha polypeptide",1.758
80851,SH3BP5L,SH3-binding domain protein 5-like,1.758
116969,ART5,ADP-ribosyltransferase 5,1.757
92689,FAM114A1,"family with sequence similarity 114, member A1",1.754
55793,FAM63A,"family with sequence similarity 63, member A",1.754
9238,TBRG4,transforming growth factor beta regulator 4,1.754
523,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",1.753
1374,CPT1A,carnitine palmitoyltransferase 1A (liver),1.753
11316,COPE,"coatomer protein complex, subunit epsilon",1.753
22898,DENND3,DENN/MADD domain containing 3,1.753
3006,HIST1H1C,"histone cluster 1, H1c",1.753
29916,SNX11,sorting nexin 11,1.753
8970,HIST1H2BJ,"histone cluster 1, H2bj",1.752
83871,RAB34,"RAB34, member RAS oncogene family",1.752
8793,TNFRSF10D,"tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain",1.752
1116,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39),1.751
10014,HDAC5,histone deacetylase 5,1.75
6909,TBX2,T-box 2,1.75
811,CALR,calreticulin,1.749
9477,MED20,mediator complex subunit 20,1.749
4332,MNDA,myeloid cell nuclear differentiation antigen,1.749
26043,UBXN7,UBX domain protein 7,1.749
10221,TRIB1,tribbles pseudokinase 1,1.748
100131138,LOC100131138,uncharacterized LOC100131138,1.747
113230,LOC113230,uncharacterized LOC113230,1.747
79575,ABHD8,abhydrolase domain containing 8,1.746
2353,FOS,FBJ murine osteosarcoma viral oncogene homolog,1.746
54979,HRASLS2,HRAS-like suppressor 2,1.746
3687,ITGAX,"integrin, alpha X (complement component 3 receptor 4 subunit)",1.745
55509,BATF3,"basic leucine zipper transcription factor, ATF-like 3",1.744
682,BSG,basigin,1.744
6827,SUPT4H1,suppressor of Ty 4 homolog 1 (S. cerevisiae),1.744
64748,LPPR2,lipid phosphate phosphatase-related protein type 2,1.742
5595,MAPK3,mitogen-activated protein kinase 3,1.742
54849,DEF8,differentially expressed in FDCP 8 homolog (mouse),1.741
6405,SEMA3F,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",1.741
222166,MTURN,"maturin, neural progenitor differentiation regulator homolog (Xenopus)",1.74
101928200,LOC101928200,uncharacterized LOC101928200,1.74
79087,ALG12,"ALG12, alpha-1,6-mannosyltransferase",1.739
29065,ASAP1-IT1,ASAP1 intronic transcript 1 (non-protein coding),1.739
84649,DGAT2,diacylglycerol O-acyltransferase 2,1.739
4066,LYL1,lymphoblastic leukemia derived sequence 1,1.739
54863,TOR4A,"torsin family 4, member A",1.739
101927668,LOC101927668,uncharacterized LOC101927668,1.739
100996290,LOC100996290,uncharacterized LOC100996290,1.738
1509,CTSD,cathepsin D,1.737
100506994,PTPRG-AS1,PTPRG antisense RNA 1,1.737
126669,SHE,Src homology 2 domain containing E,1.737
400931,MIRLET7BHG,MIRLET7B host gene (non-protein coding),1.736
4778,NFE2,"nuclear factor, erythroid 2",1.736
79370,BCL2L14,BCL2-like 14 (apoptosis facilitator),1.735
3250,HPR,haptoglobin-related protein,1.734
5580,PRKCD,"protein kinase C, delta",1.733
368,ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",1.732
